date,Open,High,Low,Close,Adj Close,Volume,DollarPrice,DollarChangeRate,OilPrice,OilChangeRate,Interest,InterestRateChange,copper,copperChangeRate,nextdayprice,result
2018-08-21,106.919998,107.349998,105.849998,105.980003,100.841347,22881900,95.26,-0.67,67.35,1.38,1.92,0,2.7005,0.97,107.059998,1
2018-08-22,105.849998,107.339996,105.779999,107.059998,101.868988,18000600,95.15,-0.12,67.86,0.76,1.92,0,2.68,-0.76,107.559998,1
2018-08-23,107.150002,108.18,106.870003,107.559998,102.344727,18167700,95.67,0.55,67.83,-0.04,1.92,0,2.662,-0.67,108.400002,1
2018-08-24,107.669998,108.559998,107.559998,108.400002,103.143997,17234000,95.15,-0.54,68.72,1.31,1.92,0,2.7085,1.75,109.599998,1
2018-08-27,109.269997,109.639999,108.510002,109.599998,104.285828,19662300,94.78,-0.39,68.87,0.22,1.92,0,2.717,0.31,110.260002,1
2018-08-28,109.940002,110.5,109.790001,110.260002,104.913818,19151500,94.72,-0.06,68.53,-0.49,1.92,0,2.745,1.03,112.019997,1
2018-08-29,110.449997,112.029999,110.269997,112.019997,106.588478,20818000,94.6,-0.13,69.51,1.43,1.92,0,2.7195,-0.93,111.949997,0
2018-08-30,111.669998,112.610001,111.440002,111.949997,106.521873,22798700,94.72,0.13,70.25,1.06,1.92,0,2.7095,-0.37,112.330002,1
2018-08-31,111.690002,112.779999,111.519997,112.330002,106.883438,23222700,95.14,0.44,69.8,-0.64,1.91,-0.52,2.6645,-1.66,111.709999,0
2018-09-04,110.849998,111.959999,110.220001,111.709999,106.293518,22634600,95.44,0.32,69.87,-0.36,1.92,0.52,2.5965,-2.55,108.489998,0
2018-09-05,111.010002,111.419998,108.099998,108.489998,103.229637,32872400,95.18,-0.27,68.72,-1.65,1.92,0,2.604,0.29,108.739998,1
2018-09-06,108.25,108.989998,107.510002,108.739998,103.467529,23477600,95.02,-0.17,67.77,-1.38,1.92,0,2.63,1,108.209999,0
2018-09-07,108.230003,108.720001,107.230003,108.209999,102.963211,22498600,95.36,0.36,67.75,-0.03,1.92,0,2.616,-0.53,109.379997,1
2018-09-10,108.839996,109.639999,108.360001,109.379997,104.076477,20727900,95.15,-0.22,67.54,-0.31,1.92,0,2.6215,0.21,111.239998,1
2018-09-11,108.900002,111.589996,108.889999,111.239998,105.846306,24301800,95.25,0.11,69.25,2.53,1.92,0,2.615,-0.25,111.709999,1
2018-09-12,111.43,111.849998,110.510002,111.709999,106.293518,18891100,94.8,-0.47,70.37,1.62,1.92,0,2.669,2.07,112.910004,1
2018-09-13,112.120003,113.730003,112.120003,112.910004,107.435341,26055600,94.52,-0.3,68.59,-2.53,1.92,0,2.676,0.26,113.370003,1
2018-09-14,113.360001,113.730003,112.440002,113.370003,107.873009,19122300,94.93,0.43,68.99,0.58,1.92,0,2.638,-1.42,112.139999,0
2018-09-17,113.690002,113.699997,111.860001,112.139999,106.702667,20736500,94.5,-0.45,68.91,-0.12,1.92,0,2.6435,0.21,113.209999,1
2018-09-18,112.190002,113.699997,111.720001,113.209999,107.720802,22170900,94.64,0.15,69.85,1.36,1.92,0,2.723,3.01,111.699997,0
2018-09-19,113.050003,113.32,111.040001,111.699997,106.284004,21728400,94.54,-0.11,71.12,1.82,1.92,0,2.7215,-0.06,113.57,1
2018-09-20,112.279999,113.800003,111.93,113.57,108.063332,23714500,93.91,-0.67,70.8,-0.45,1.92,0,2.7315,0.37,114.260002,1
2018-09-21,114,115.290001,113.510002,114.260002,108.719879,71229700,94.22,0.33,70.78,-0.03,1.92,0,2.848,4.27,114.669998,1
2018-09-24,113.029999,114.900002,112.220001,114.669998,109.109985,27334500,94.19,-0.03,72.08,1.84,1.93,0.52,2.827,-0.74,114.449997,0
2018-09-25,114.800003,115.099998,113.75,114.449997,108.90065,22668000,94.13,-0.06,72.28,0.28,1.93,0,2.8145,-0.44,113.980003,0
